mass_A
t;x;y
2.086925556E1;-1.045458087E-1;3.111043792E-1
2.087340000E1;-1.018400335E-1;3.111591364E-1
2.087756667E1;-9.918124509E-2;3.111888723E-1
2.088170000E1;-9.652536260E-2;3.111697455E-1
2.088586667E1;-9.377321115E-2;3.112008276E-1
2.089002222E1;-9.117776271E-2;3.112682598E-1
2.089418889E1;-8.854534724E-2;3.113177082E-1
2.089833333E1;-8.599249156E-2;3.113572291E-1
2.090247778E1;-8.294360865E-2;3.109957509E-1
2.090662222E1;-8.019013967E-2;3.108083679E-1
2.091077778E1;-7.752712567E-2;3.108112837E-1
2.091492222E1;-7.482195496E-2;3.108770608E-1
2.091908889E1;-7.225048509E-2;3.109435316E-1
2.092323333E1;-6.963416396E-2;3.109959141E-1
2.092741111E1;-6.688790627E-2;3.110332372E-1
2.093155556E1;-6.425858501E-2;3.109942150E-1
2.093570000E1;-6.157185556E-2;3.109975946E-1
2.093984444E1;-5.893829903E-2;3.110496199E-1
2.094401111E1;-5.629407828E-2;3.110795906E-1
2.094815556E1;-5.382568940E-2;3.111058471E-1
2.095233333E1;-5.082617912E-2;3.108128371E-1
2.095646667E1;-4.803389558E-2;3.106517732E-1
2.096063333E1;-4.542808848E-2;3.106486464E-1
2.096477778E1;-4.272367515E-2;3.107123592E-1
2.096892222E1;-4.012029002E-2;3.107727240E-1
2.097307778E1;-3.750352836E-2;3.108156111E-1
2.097722222E1;-3.473214785E-2;3.108467943E-1
2.098137778E1;-3.215924039E-2;3.108181485E-1
2.098554444E1;-2.945486411E-2;3.108479769E-1
2.098968889E1;-2.683992646E-2;3.109207730E-1
2.099383333E1;-2.427519206E-2;3.109569058E-1
2.099798889E1;-2.175814022E-2;3.109540711E-1
2.100214444E1;-1.875553981E-2;3.105993892E-1
2.100630000E1;-1.595812724E-2;3.104523668E-1
2.101044444E1;-1.331859978E-2;3.104800384E-1
2.101461111E1;-1.064799940E-2;3.105364636E-1
2.101875556E1;-8.050271734E-3;3.105930571E-1
2.102292222E1;-5.398861108E-3;3.106396362E-1
2.103122222E1;4.695283346E-5;3.106140698E-1
2.103953333E1;5.311094375E-3;3.106812412E-1
2.104367778E1;7.971691184E-3;3.106002533E-1
